ticker,company_name,year,db_ceo,fmp_ceo,fmp_source,status,db_source
A,Agilent Technologies Inc,2012,William Sullivan,,,NO_FMP_REF,openai
A,Agilent Technologies Inc,2013,William Sullivan,,,NO_FMP_REF,openai
A,Agilent Technologies Inc,2014,William Sullivan,,,NO_FMP_REF,openai
A,Agilent Technologies Inc,2015,William Sullivan,,,NO_FMP_REF,openai
A,Agilent Technologies Inc,2016,Mike McMullen,,,NO_FMP_REF,manual_fix
A,Agilent Technologies Inc,2017,Mike McMullen,,,NO_FMP_REF,manual_fix
A,Agilent Technologies Inc,2018,Mike McMullen,,,NO_FMP_REF,openai
A,Agilent Technologies Inc,2019,Mike McMullen,,,NO_FMP_REF,openai
A,Agilent Technologies Inc,2020,Mark Doiron,,,NO_FMP_REF,openai
A,Agilent Technologies Inc,2021,Mark Doiron,,,NO_FMP_REF,openai
A,Agilent Technologies Inc,2022,Mike McMullen,,,NO_FMP_REF,openai
A,Agilent Technologies Inc,2023,Mike McMullen,Padraig McDonnell,fmp_profile,MISMATCH,openai
A,Agilent Technologies Inc,2024,Padraig McDonnell,Padraig McDonnell,fmp_profile,MATCH,local_10k
A,Agilent Technologies Inc,2025,Padraig McDonnell,Padraig McDonnell,fmp_profile,MATCH,local_10k
AAPL,Apple Inc,2012,Tim Cook,,,NO_FMP_REF,openai
AAPL,Apple Inc,2013,Tim Cook,,,NO_FMP_REF,openai
AAPL,Apple Inc,2014,Tim Cook,,,NO_FMP_REF,openai
AAPL,Apple Inc,2015,Tim Cook,,,NO_FMP_REF,openai
AAPL,Apple Inc,2016,Tim Cook,,,NO_FMP_REF,openai
AAPL,Apple Inc,2017,Tim Cook,,,NO_FMP_REF,openai
AAPL,Apple Inc,2018,Tim Cook,,,NO_FMP_REF,openai
AAPL,Apple Inc,2019,Tim Cook,,,NO_FMP_REF,openai
AAPL,Apple Inc,2020,Tim Cook,Timothy Cook,fmp_key_executives,LIKELY_SAME,openai
AAPL,Apple Inc,2021,Tim Cook,Timothy Cook,fmp_key_executives,LIKELY_SAME,openai
AAPL,Apple Inc,2022,Tim Cook,Timothy Cook,fmp_key_executives,LIKELY_SAME,openai
AAPL,Apple Inc,2023,Tim Cook,Timothy Cook,fmp_key_executives,LIKELY_SAME,openai
AAPL,Apple Inc,2024,Tim Cook,Timothy Cook,fmp_key_executives,LIKELY_SAME,openai
AAPL,Apple Inc,2025,Tim Cook,Timothy Cook,fmp_key_executives,LIKELY_SAME,manual_fix
ABBV,AbbVie Inc,2012,Richard Gonzalez,,,NO_FMP_REF,openai
ABBV,AbbVie Inc,2013,Richard Gonzalez,,,NO_FMP_REF,openai
ABBV,AbbVie Inc,2014,Richard Gonzalez,,,NO_FMP_REF,openai
ABBV,AbbVie Inc,2015,Richard Gonzalez,,,NO_FMP_REF,openai
ABBV,AbbVie Inc,2016,Richard Gonzalez,,,NO_FMP_REF,openai
ABBV,AbbVie Inc,2017,Richard Gonzalez,,,NO_FMP_REF,openai
ABBV,AbbVie Inc,2018,Richard Gonzalez,,,NO_FMP_REF,openai
ABBV,AbbVie Inc,2019,Richard Gonzalez,,,NO_FMP_REF,openai
ABBV,AbbVie Inc,2020,Richard Gonzalez,Robert Michael,fmp_key_executives,MISMATCH,openai
ABBV,AbbVie Inc,2021,Richard Gonzalez,Robert Michael,fmp_key_executives,MISMATCH,openai
ABBV,AbbVie Inc,2022,Richard Gonzalez,Robert Michael,fmp_key_executives,MISMATCH,openai
